,product_id,store_id,brand_id,date,sales_product,MA7_P,LAG7_P,sales_brand,MA7_B,LAG7_B,sales_store,MA7_S,LAG7_S
0,0,0,0,2021-01-08,10,11.428571428571429,6,0,0.0,0,63,7029375.0,39
1,0,0,0,2021-01-09,10,12.0,19,0,0.0,0,41,7029375.0,48
2,0,0,0,2021-01-10,3,10.714285714285714,14,0,0.0,0,52,7029375.0,53
3,0,0,0,2021-01-11,7,9.142857142857142,10,0,0.0,0,57,7029375.0,29
4,0,0,0,2021-01-12,2,8.714285714285714,7,0,0.0,0,46,7029375.0,57
5,0,0,0,2021-01-13,1,8.0,6,0,0.0,0,40,7029375.0,32
6,0,0,0,2021-01-14,11,7.285714285714286,18,0,0.0,0,35,7029375.0,64
7,0,0,0,2021-01-15,5,6.285714285714286,10,0,0.0,0,42,7029375.0,63
8,0,0,0,2021-01-16,1,5.571428571428571,10,0,0.0,0,26,7029375.0,41
9,0,0,0,2021-01-17,0,4.285714285714286,3,0,0.0,0,27,7029375.0,52
10,0,0,0,2021-01-18,11,3.857142857142857,7,0,0.0,0,63,7029375.0,57
11,0,0,0,2021-01-19,11,4.428571428571429,2,0,0.0,0,52,7029375.0,46
12,0,0,0,2021-01-20,16,5.714285714285714,1,0,0.0,0,72,7029375.0,40
13,0,0,0,2021-01-21,9,7.857142857142857,11,0,0.0,0,53,7029375.0,35
14,0,0,0,2021-01-22,15,7.571428571428571,5,0,0.0,0,54,7029375.0,42
15,0,0,0,2021-01-23,14,9.0,1,0,0.0,0,35,7029375.0,26
16,0,0,0,2021-01-24,14,10.857142857142858,0,0,0.0,0,47,7029375.0,27
17,0,0,0,2021-01-25,18,12.857142857142858,11,0,0.0,0,34,7029375.0,63
18,0,0,0,2021-01-26,11,13.857142857142858,11,0,0.0,0,40,7029375.0,52
19,0,0,0,2021-01-27,19,13.857142857142858,16,0,0.0,0,52,7029375.0,72
20,0,0,0,2021-01-28,2,14.285714285714286,9,0,0.0,0,52,7029375.0,53
21,0,0,0,2021-01-29,4,13.285714285714286,15,0,0.0,0,42,7029375.0,54
22,0,0,0,2021-01-30,18,11.714285714285714,14,0,0.0,0,69,7029375.0,35
23,0,0,0,2021-01-31,6,12.285714285714286,14,0,0.0,0,61,7029375.0,47
24,0,0,0,2021-02-01,8,11.142857142857142,18,0,0.0,0,51,7029375.0,34
25,0,0,0,2021-02-02,6,9.714285714285714,11,0,0.0,0,44,7029375.0,40
26,0,0,0,2021-02-03,17,9.0,19,0,0.0,0,49,7029375.0,52
27,0,0,0,2021-02-04,3,8.714285714285714,2,0,0.0,0,48,7029375.0,52
